Class,Ann_Return,Ann_Volatility,Sharpe,Max_Drawdown
Commodity - Gold,0.1274,0.1457,0.8744,-0.2103
Emerging Markets,-0.0171,0.1811,-0.0935,-0.3127
International Developed,0.0084,0.1686,0.0499,-0.29
US Broad Bond,-0.021,0.0704,-0.2992,-0.1606
US Consumer Discretionary,0.0333,0.2534,0.1316,-0.3907
US Consumer Staples,0.0327,0.1335,0.2448,-0.163
US Energy,0.183,0.2636,0.6944,-0.2604
US Financials,0.0894,0.1883,0.4746,-0.2581
US Healthcare,0.0107,0.1429,0.0751,-0.1606
US High Yield Bond,0.0238,0.089,0.2675,-0.153
US Industrials,0.0979,0.1717,0.5704,-0.2164
US Investment Grade Corp Bond,-0.0284,0.0991,-0.2867,-0.2273
US Large Cap,0.0885,0.1751,0.5055,-0.2449
US Large Growth,0.0935,0.2347,0.3984,-0.344
US Large Value,0.0729,0.1412,0.5164,-0.1704
US Long-Term Treasury,-0.1254,0.178,-0.7041,-0.3983
US Materials,-0.0011,0.192,-0.0057,-0.2472
US Mid Cap,0.0304,0.187,0.1626,-0.2555
US Real Estate,-0.0449,0.2102,-0.2135,-0.3324
US Small Cap,0.0104,0.2257,0.0468,-0.2575
US Technology,0.0948,0.2373,0.3994,-0.3397
US Technology Sector,0.1114,0.2533,0.4399,-0.3242
US Total Market,0.0784,0.1801,0.4355,-0.2522
US Utilities,0.0553,0.1835,0.3012,-0.2526
