ETF,Year,Ann_Return,Ann_Volatility,Sharpe,Class,Trading_Days,Period,Date_Range
AGG,2022,-0.125157,0.080047,-1.5635,US Broad Bond,250,Full Year,2022-01-03 ~ 2022-12-30
AGG,2023,0.051002,0.07476,0.6822,US Broad Bond,249,Full Year,2023-01-03 ~ 2023-12-29
AGG,2024,0.019328,0.054698,0.3534,US Broad Bond,250,Full Year,2024-01-02 ~ 2024-12-30
BND,2022,-0.126174,0.079442,-1.5883,US Broad Bond,250,Full Year,2022-01-03 ~ 2022-12-30
BND,2023,0.051614,0.073375,0.7034,US Broad Bond,249,Full Year,2023-01-03 ~ 2023-12-29
BND,2024,0.019977,0.05418,0.3687,US Broad Bond,250,Full Year,2024-01-02 ~ 2024-12-30
EEM,2022,-0.212784,0.236674,-0.8991,Emerging Markets,250,Full Year,2022-01-03 ~ 2022-12-30
EEM,2023,0.081368,0.154987,0.525,Emerging Markets,249,Full Year,2023-01-03 ~ 2023-12-29
EEM,2024,0.081777,0.15502,0.5275,Emerging Markets,250,Full Year,2024-01-02 ~ 2024-12-30
GLD,2022,0.007845,0.152324,0.0515,Commodity - Gold,250,Full Year,2022-01-03 ~ 2022-12-30
GLD,2023,0.119059,0.13396,0.8888,Commodity - Gold,249,Full Year,2023-01-03 ~ 2023-12-29
GLD,2024,0.264041,0.150609,1.7532,Commodity - Gold,250,Full Year,2024-01-02 ~ 2024-12-30
HYG,2022,-0.110244,0.127082,-0.8675,US High Yield Bond,250,Full Year,2022-01-03 ~ 2022-12-30
HYG,2023,0.114739,0.074948,1.5309,US High Yield Bond,249,Full Year,2023-01-03 ~ 2023-12-29
HYG,2024,0.084133,0.044503,1.8905,US High Yield Bond,250,Full Year,2024-01-02 ~ 2024-12-30
IEFA,2022,-0.158312,0.225348,-0.7025,International Developed,250,Full Year,2022-01-03 ~ 2022-12-30
IEFA,2023,0.171669,0.135927,1.263,International Developed,249,Full Year,2023-01-03 ~ 2023-12-29
IEFA,2024,0.045013,0.128345,0.3507,International Developed,250,Full Year,2024-01-02 ~ 2024-12-30
IEMG,2022,-0.205904,0.229761,-0.8962,Emerging Markets,250,Full Year,2022-01-03 ~ 2022-12-30
IEMG,2023,0.10783,0.150557,0.7162,Emerging Markets,249,Full Year,2023-01-03 ~ 2023-12-29
IEMG,2024,0.080924,0.149555,0.5411,Emerging Markets,250,Full Year,2024-01-02 ~ 2024-12-30
IJR,2022,-0.172345,0.253859,-0.6789,US Small Cap,250,Full Year,2022-01-03 ~ 2022-12-30
IJR,2023,0.164462,0.201759,0.8151,US Small Cap,249,Full Year,2023-01-03 ~ 2023-12-29
IJR,2024,0.089875,0.197097,0.456,US Small Cap,250,Full Year,2024-01-02 ~ 2024-12-30
IVV,2022,-0.187816,0.242702,-0.7739,US Large Cap,250,Full Year,2022-01-03 ~ 2022-12-30
IVV,2023,0.272247,0.130819,2.0811,US Large Cap,249,Full Year,2023-01-03 ~ 2023-12-29
IVV,2024,0.263801,0.12593,2.0948,US Large Cap,250,Full Year,2024-01-02 ~ 2024-12-30
IWM,2022,-0.216495,0.281245,-0.7698,US Small Cap,250,Full Year,2022-01-03 ~ 2022-12-30
IWM,2023,0.177026,0.200978,0.8808,US Small Cap,249,Full Year,2023-01-03 ~ 2023-12-29
IWM,2024,0.120073,0.208354,0.5763,US Small Cap,250,Full Year,2024-01-02 ~ 2024-12-30
LQD,2022,-0.171629,0.122368,-1.4026,US Investment Grade Corp Bond,250,Full Year,2022-01-03 ~ 2022-12-30
LQD,2023,0.087609,0.096804,0.905,US Investment Grade Corp Bond,249,Full Year,2023-01-03 ~ 2023-12-29
LQD,2024,0.018177,0.070669,0.2572,US Investment Grade Corp Bond,250,Full Year,2024-01-02 ~ 2024-12-30
QQQ,2022,-0.334352,0.321956,-1.0385,US Technology,250,Full Year,2022-01-03 ~ 2022-12-30
QQQ,2023,0.567459,0.178809,3.1735,US Technology,249,Full Year,2023-01-03 ~ 2023-12-29
QQQ,2024,0.290957,0.179634,1.6197,US Technology,250,Full Year,2024-01-02 ~ 2024-12-30
SPY,2022,-0.187806,0.242828,-0.7734,US Large Cap,250,Full Year,2022-01-03 ~ 2022-12-30
SPY,2023,0.270711,0.130915,2.0678,US Large Cap,249,Full Year,2023-01-03 ~ 2023-12-29
SPY,2024,0.262815,0.125938,2.0869,US Large Cap,250,Full Year,2024-01-02 ~ 2024-12-30
TLT,2022,-0.29577,0.202353,-1.4617,US Long-Term Treasury,250,Full Year,2022-01-03 ~ 2022-12-30
TLT,2023,0.008537,0.183683,0.0465,US Long-Term Treasury,249,Full Year,2023-01-03 ~ 2023-12-29
TLT,2024,-0.070764,0.142292,-0.4973,US Long-Term Treasury,250,Full Year,2024-01-02 ~ 2024-12-30
VEA,2022,-0.159689,0.222437,-0.7179,International Developed,250,Full Year,2022-01-03 ~ 2022-12-30
VEA,2023,0.175162,0.13819,1.2675,International Developed,249,Full Year,2023-01-03 ~ 2023-12-29
VEA,2024,0.043169,0.127942,0.3374,International Developed,250,Full Year,2024-01-02 ~ 2024-12-30
VO,2022,-0.184227,0.256992,-0.7169,US Mid Cap,250,Full Year,2022-01-03 ~ 2022-12-30
VO,2023,0.16786,0.152516,1.1006,US Mid Cap,249,Full Year,2023-01-03 ~ 2023-12-29
VO,2024,0.161196,0.125714,1.2822,US Mid Cap,250,Full Year,2024-01-02 ~ 2024-12-30
VTI,2022,-0.201731,0.249336,-0.8091,US Total Market,250,Full Year,2022-01-03 ~ 2022-12-30
VTI,2023,0.26923,0.135391,1.9885,US Total Market,249,Full Year,2023-01-03 ~ 2023-12-29
VTI,2024,0.253042,0.129214,1.9583,US Total Market,250,Full Year,2024-01-02 ~ 2024-12-30
VTV,2022,-0.025112,0.187284,-0.1341,US Large Value,250,Full Year,2022-01-03 ~ 2022-12-30
VTV,2023,0.096225,0.118481,0.8122,US Large Value,249,Full Year,2023-01-03 ~ 2023-12-29
VTV,2024,0.151286,0.104372,1.4495,US Large Value,250,Full Year,2024-01-02 ~ 2024-12-30
VUG,2022,-0.33829,0.324421,-1.0428,US Large Growth,250,Full Year,2022-01-03 ~ 2022-12-30
VUG,2023,0.485726,0.169623,2.8636,US Large Growth,249,Full Year,2023-01-03 ~ 2023-12-29
